datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/6/2022 3:00:00 AM,1/5/2022 10:00:00 PM,1/6/2022 4:00:00 AM,1/5/2022 11:00:00 PM,MIDATL,32341.1
1/6/2022 4:00:00 AM,1/5/2022 11:00:00 PM,1/6/2022 5:00:00 AM,1/6/2022 12:00:00 AM,MIDATL,30656.4
1/6/2022 5:00:00 AM,1/6/2022 12:00:00 AM,1/6/2022 6:00:00 AM,1/6/2022 1:00:00 AM,MIDATL,29348.0
1/6/2022 6:00:00 AM,1/6/2022 1:00:00 AM,1/6/2022 7:00:00 AM,1/6/2022 2:00:00 AM,MIDATL,28596.9
1/6/2022 7:00:00 AM,1/6/2022 2:00:00 AM,1/6/2022 8:00:00 AM,1/6/2022 3:00:00 AM,MIDATL,28428.5
1/6/2022 8:00:00 AM,1/6/2022 3:00:00 AM,1/6/2022 9:00:00 AM,1/6/2022 4:00:00 AM,MIDATL,28618.5
1/6/2022 9:00:00 AM,1/6/2022 4:00:00 AM,1/6/2022 10:00:00 AM,1/6/2022 5:00:00 AM,MIDATL,29479.0
1/6/2022 10:00:00 AM,1/6/2022 5:00:00 AM,1/6/2022 11:00:00 AM,1/6/2022 6:00:00 AM,MIDATL,31273.8
1/6/2022 11:00:00 AM,1/6/2022 6:00:00 AM,1/6/2022 12:00:00 PM,1/6/2022 7:00:00 AM,MIDATL,33995.9
1/6/2022 12:00:00 PM,1/6/2022 7:00:00 AM,1/6/2022 1:00:00 PM,1/6/2022 8:00:00 AM,MIDATL,35738.8
1/6/2022 1:00:00 PM,1/6/2022 8:00:00 AM,1/6/2022 2:00:00 PM,1/6/2022 9:00:00 AM,MIDATL,36145.4
1/6/2022 2:00:00 PM,1/6/2022 9:00:00 AM,1/6/2022 3:00:00 PM,1/6/2022 10:00:00 AM,MIDATL,35721.9
1/6/2022 3:00:00 PM,1/6/2022 10:00:00 AM,1/6/2022 4:00:00 PM,1/6/2022 11:00:00 AM,MIDATL,35247.2
1/6/2022 4:00:00 PM,1/6/2022 11:00:00 AM,1/6/2022 5:00:00 PM,1/6/2022 12:00:00 PM,MIDATL,34536.1
1/6/2022 5:00:00 PM,1/6/2022 12:00:00 PM,1/6/2022 6:00:00 PM,1/6/2022 1:00:00 PM,MIDATL,33872.4
1/6/2022 6:00:00 PM,1/6/2022 1:00:00 PM,1/6/2022 7:00:00 PM,1/6/2022 2:00:00 PM,MIDATL,33133.8
1/6/2022 7:00:00 PM,1/6/2022 2:00:00 PM,1/6/2022 8:00:00 PM,1/6/2022 3:00:00 PM,MIDATL,33184.9
1/6/2022 8:00:00 PM,1/6/2022 3:00:00 PM,1/6/2022 9:00:00 PM,1/6/2022 4:00:00 PM,MIDATL,34073.9
1/6/2022 9:00:00 PM,1/6/2022 4:00:00 PM,1/6/2022 10:00:00 PM,1/6/2022 5:00:00 PM,MIDATL,35786.9
1/6/2022 10:00:00 PM,1/6/2022 5:00:00 PM,1/6/2022 11:00:00 PM,1/6/2022 6:00:00 PM,MIDATL,37810.1
